ID,Title,"EFI Areas","EFI Events Categories","Event Categories",Sectors
53172,"Future-Proofing Creative Skills for Responsible AI Adoption","Research Clusters>Creativity, AI and the Human",,"Making Waves: Spring 2025|Workshop",
53198,"Voices for Transgender Equality: Trans Rights Activism Under Trump","Research Clusters>Media and Communications",,Talk/Discussion,
53533,"Inaugural lecture: Professor Oliver Escobar",,Lecture,Lecture,
53595,"Centre for Investing Innovation Guest Lecture: Sahra Ghalebikesabi","Centres, Hubs, Projects &amp; Networks>Centre for Investing Innovation",Lecture,,"Financial Services &amp; FinTech"
53601,"Repurposing media for collective inquiry: notes from the Public Data Lab","Centres, Hubs, Projects &amp; Networks>Centre for Data, Culture &amp; Society",Talk/Discussion,Talk/Discussion,
53615,"Emerging Futures for Tokenised Licensing in the Creative Industries",,,Talk/Discussion,"Creative Industries"
53662,"Building Near Futures: Human AI Ensembles - EFI Master's Student Showcase",,,Exhibition,"Creative Industries|Data &amp; AI ethics"
53753,"Startup Summer Accelerator","Engagement &amp; Innovation>Innovation Services",,Training,
53772,"Book launch: Transmedia Geographies","Research Clusters>Media and Communications","Book launch",,
53780,"Creative Industries Mixer Event","Research Clusters>Creativity, AI and the Human",Mixer,Mixer,"Creative Industries"
53815,"Book Launch: Experimental Times: Startup Capitalism and Feminist Futures in India","Research Clusters>Critical Data Studies","Book launch","Book launch|Talk/Discussion",
54020,"Postgraduate Online Learning Open Days",,,,
54030,"Postgraduate Online Learning Open Days - Fusion teaching with Edinburgh Futures Institute",,,"Postgraduate online open day",
54034,"MSc Sustainable Lands and Cities: Information Session",,,"Postgraduate online open day",
54036,"MSc Data, Inequality and Society: Information Session",,,"Postgraduate online open day",
54039,"MSc Planetary Health: Information Session",,,"Postgraduate online open day",
54041,"MSc Service Management and Design: Information session",,,"Postgraduate online open day",
54043,"MSc Data and Artificial Intelligence Ethics: Information Session",,,"Postgraduate online open day",
54046,"MSc Cultural Heritage Futures: Information Session",,,"Postgraduate online open day",
54048,"MSc Future Governance: Information Session",,,"Postgraduate online open day",
54053,"MSc Narrative Futures: Art, Data, Society: Information Session",,,"Postgraduate online open day",
54055,"MSc Education Futures: Information Session",,,"Postgraduate online open day",
54068,"CreativeTech Scotland Gathering 2025","Engagement &amp; Innovation",,Conference|Forum|Performance|Talk/Discussion,"Creative Industries"
54123,"Meadows Festival: University of Edinburgh family activities",,,"Community Event",Community
54127,"Meadows Festival: University of Edinburgh family activities",,,"Community Event",Community
54145,"The Power of Purpose: workshop series","Centres, Hubs, Projects &amp; Networks>The Binks Hub",Workshop,Workshop,
54149,"The Power of Purpose: workshop series","Centres, Hubs, Projects &amp; Networks>The Binks Hub",Workshop,Workshop,
54151,"The Power of Purpose: workshop series","Centres, Hubs, Projects &amp; Networks>The Binks Hub",Workshop,Workshop,
54170,"Traveltech Meet up","Centres, Hubs, Projects &amp; Networks>Traveltech Innovation Hub",Mixer,"Mixer|Tourism &amp; Festivals",
54196,"How Revolutionary is AI? International Digital Futures Network Summer Symposium",,Symposium,Symposium,
54206,"Speaking Towards One Another Opening Performance",,Performance,Performance,
54209,"Who Owns the Future? Reimagining Education from AI to Abundant Imagination",,Lecture,Lecture,
54626,"Writing retreat sessions – The Binks Hub","Centres, Hubs, Projects &amp; Networks>The Binks Hub",,"Writing retreat",
54729,"Traveltech Meet up #3","Centres, Hubs, Projects &amp; Networks>Traveltech Innovation Hub",Mixer,"Tourism &amp; Festivals","Tourism &amp; Festivals"
54777,"Words from the Wards: The Exhibition","Culture &amp; Community",,"Edinburgh International Book Festival|Exhibition",
54786,"Spark Exhibition","Culture &amp; Community",,"Edinburgh International Book Festival|Exhibition",
54789,"Utopia Lab","Culture &amp; Community",,"Edinburgh International Book Festival|Workshop",
54800,"Future Library",,,"Edinburgh International Book Festival|Talk/Discussion",
54806,"Halle O’Neal: The Buddhist Approach to Healing",,,"Edinburgh International Book Festival|Talk/Discussion",
54811,"Richard Susskind: Navigating the AI Revolution",,,"Edinburgh International Book Festival|Talk/Discussion",
54861,"The Future of Digital Place",,Talk/Discussion,"Creative Industries|Talk/Discussion","Creative Industries"
54865,"Doors Open Day at Edinburgh Futures Institute","Culture &amp; Community",Tour,"Community Event",Community
54889,"Doors Open Day 2025 at Edinburgh Futures Institute",,,"Community Event",
54947,"Repair Skills Workshop with EFI Makerspace","Culture &amp; Community",Workshop,"Edinburgh International Book Festival|Workshop",
54950,"Repair Cafe Edinburgh","Culture &amp; Community",Workshop,"Edinburgh International Book Festival|Workshop",
54953,"Repair Cafe Edinburgh","Culture &amp; Community",Workshop,"Edinburgh International Book Festival|Workshop",
55044,"Writing retreat sessions – The Binks Hub","Centres, Hubs, Projects &amp; Networks>The Binks Hub",Workshop,Workshop,
55217,"EICC Live: Artificial Intelligence - Can Tourism Stay Human?","Centres, Hubs, Projects &amp; Networks>Traveltech Innovation Hub",Talk/Discussion,"Talk/Discussion|Tourism &amp; Festivals","Tourism &amp; Festivals"
55221,"The Future of Free (and Who Will Pay for It)","Centres, Hubs, Projects &amp; Networks>Centre for Technomoral Futures",Talk/Discussion,Talk/Discussion,"Data &amp; AI ethics"
