ID,Title,"EFI Areas","Areas of Expertise","UoE Schools",Sectors
48583,"Tara Capel","Research Clusters>Creativity, AI and the Human|Research Clusters>Critical Data Studies","Human-centred and social dimensions of AI","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48585,"Theodore Koterwas","Research Clusters>Creativity, AI and the Human","AI ethics, responsibility, and governance|AI in creative domains|AI in knowledge and learning contexts|Human-centred and social dimensions of AI|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48587,"Tom Mudd","Research Clusters>Creativity, AI and the Human","AI in creative domains","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48589,"Torsten Lauschmann","Research Clusters>Creativity, AI and the Human","AI in creative domains","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48592,"Shama Rahman","Research Clusters>Creativity, AI and the Human","AI in creative domains|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48695,"Christian Ilbury","Research Clusters>Media and Communications","Social Media","College of Arts, Humanities &amp; Social Sciences>School of Philosophy, Psychology and Language Sciences",
48698,"Sumin Zhao ","Research Clusters>Media and Communications","Social Media","College of Arts, Humanities &amp; Social Sciences>School of Philosophy, Psychology and Language Sciences",
48824,"Caitlin McDonald","Research Clusters>Creativity, AI and the Human","AI ethics, responsibility, and governance|AI in creative domains|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48827,"Andrea Kocsis","Research Clusters>Digital Cultural Heritage","Digital engagement, learning and participation|Tourism and heritage|Working with digital archives and collections","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48834,"Kirsty Lilley","Research Clusters>Digital Cultural Heritage","Digital documentation|Digital engagement, learning and participation|Geospatial data and heritage|Tourism and heritage","College of Arts, Humanities &amp; Social Sciences>School of History, Classics and Archaeology",
48838,"James Loxley","Research Clusters>Digital Cultural Heritage",,"College of Arts, Humanities &amp; Social Sciences>School of Literatures, Languages and Cultures",
